Protein_Domain(Queried),Protein_Domain_name,count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,Protein_Domain
PF00620,RhoGAP domain,11,"['YBR260C', 'YDL240W', 'YDR379W', 'YDR389W', 'YER155C', 'YFL047W', 'YHR182W', 'YJL201W', 'YOR127W', 'YOR134W', 'YPL115C']",,"['CYK3', 'TSC11', 'ROM2']","['cell cortex', 'cellular bud neck split septin rings', 'cellular bud tip', 'mating projection tip']",['GTPase activator activity'],"['negative regulation of Rho protein signal transduction', 'negative regulation of protein kinase C signaling', 'positive regulation of GTPase activity', 'regulation of GTPase activity', 'regulation of fungal-type cell wall organization', 'septin ring organization', 'signal transduction', 'small GTPase mediated signal transduction']",,['protein/peptide modification: increased'],"['ENT1', 'CDC42', 'RHO2', 'RHO1']",,['LIM domain']
PF00621,RhoGEF domain,5,"['YAL041W', 'YGR070W', 'YLR371W', 'YLR425W', 'YMR232W']",,"['CHS2', 'LRG1', 'SAC7', 'ROM1', 'TUS1', 'RHO1']",['incipient cellular bud site'],['guanyl-nucleotide exchange factor activity'],,,,,,"['CNH domain', 'Pleckstrin homology domain']"
PF00622,SPRY domain,3,"['YGL227W', 'YKL124W', 'YMR171C']",,,,"['protein binding, bridging involved in substrate recognition for ubiquitination']",['proteasome-mediated ubiquitin-dependent protein catabolic process'],,,,,
PF00623,"RNA polymerase Rpb1, domain 2",3,"['YDL140C', 'YOR116C', 'YOR341W']",,['GPN2'],,"[""DNA-directed 5'-3' RNA polymerase activity"", 'nucleotidyltransferase activity']","['transcription, DNA-templated']",,,"['RPB5', 'BUD27', 'YTA7', 'STH1', 'NPA3', 'RPB10', 'RPB8', 'RPO26']",,"['RNA polymerase Rpb1, domain 3', 'RNA polymerase Rpb1, domain 1', 'RNA polymerase Rpb1, domain 5', 'RNA polymerase Rpb1, domain 4']"
PF00624,Flocculin repeat,4,"['YAL063C', 'YAR050W', 'YHR211W', 'YHR213W']",,,"['anchored component of membrane', 'extracellular region', 'fungal-type cell wall']",['mannose binding'],"['cell-substrate adhesion', 'flocculation']",,"['adhesion: increased', 'flocculation: increased']",,,"['PA14 domain', 'Flocculin type 3 repeat']"
PF00625,Guanylate kinase,1,['YDR454C'],,,,,,,,,,
PF00626,Gelsolin repeat,4,"['YHR098C', 'YIL109C', 'YNL049C', 'YPR181C']",,"['SEC24', 'SEC16']","['COPII vesicle coat', 'ER to Golgi transport vesicle membrane', 'Golgi apparatus', 'Golgi membrane', 'endoplasmic reticulum exit site', 'endoplasmic reticulum membrane']","['SNARE binding', 'signal sequence binding', 'zinc ion binding']","['ER to Golgi vesicle-mediated transport', 'cargo loading into COPII-coated vesicle', 'intracellular protein transport', 'protein transport', 'vesicle-mediated transport']",,,"['SIT4', 'GRH1', 'SFB3', 'SEC24', 'SED5', 'EMP46', 'SEC13', 'SEC16', 'SEC23']",,"['Sec23/Sec24 zinc finger', 'Sec23/Sec24 trunk domain', 'Sec23/Sec24 helical domain', 'Sec23/Sec24 beta-sandwich domain']"
PF00627,UBA/TS-N domain,6,"['YBL047C', 'YBR058C', 'YEL037C', 'YER143W', 'YGL181W', 'YOR138C']",,,,,,,,['UBI4'],,
PF00628,PHD-finger,9,"['YGL131C', 'YJL105W', 'YJR119C', 'YKL005C', 'YKR029C', 'YMR075W', 'YMR176W', 'YPL138C', 'YPL181W']",,,['Snt2C complex'],"['histone demethylase activity', 'histone demethylase activity (H3-trimethyl-K4 specific)', 'metal ion binding', 'methylated histone binding']","['chromatin organization', 'histone H3-K4 demethylation, trimethyl-H3-K4-specific']",,,"['HHT1', 'HHT2', 'RPD3']",,
PF00631,GGL domain,1,['YJR086W'],,,,,,,,,,
PF00632,HECT-domain (ubiquitin-transferase),5,"['YDR457W', 'YER125W', 'YGL141W', 'YJR036C', 'YKL010C']",,,,"['transferase activity', 'ubiquitin protein ligase activity', 'ubiquitin-protein transferase activity', 'ubiquitin-ubiquitin ligase activity']","['free ubiquitin chain polymerization', 'positive regulation of protein catabolic process', 'protein polyubiquitination', 'ubiquitin-dependent protein catabolic process']",,,,,
PF00633,Helix-hairpin-helix motif,1,['YAL015C'],,,,,,,,,,
PF00635,MSP (Major sperm protein) domain,2,"['YBL091C-A', 'YER120W']",,,,['FFAT motif binding'],"['endoplasmic reticulum membrane organization', 'endoplasmic reticulum-plasma membrane tethering', 'regulation of phosphatidylinositol dephosphorylation']",,,,,
PF00636,Ribonuclease III domain,1,['YMR239C'],,,,,,,,,,
PF00637,Region in Clathrin and VPS,3,"['YDR080W', 'YGL206C', 'YLR148W']",,,['HOPS complex'],,"['intracellular protein transport', 'regulation of SNARE complex assembly', 'vacuole organization', 'vesicle tethering', 'vesicle-mediated transport']",,,,,
PF00638,RanBP1 domain,3,"['YDR002W', 'YIL063C', 'YLR335W']",,['SRM1'],['nuclear pore'],['GTPase activator activity'],['intracellular transport'],,['nuclear export: abnormal'],"['SRM1', 'GSP1']",,
PF00639,PPIC-type PPIASE domain,1,['YJR017C'],,,,,,,,,,
PF00641,Zn-finger in Ran binding protein and others,1,['YDL167C'],,,,,,,,,,
PF00642,Zinc finger C-x8-C-x5-C-x3-H type (and similar),4,"['YDR151C', 'YLR136C', 'YLR323C', 'YPL054W']",,,,,,,,,,
PF00646,F-box domain,3,"['YDR219C', 'YLR368W', 'YOR080W']",,,['SCF ubiquitin ligase complex'],,['SCF-dependent proteasomal ubiquitin-dependent protein catabolic process'],,,,,
PF00647,"Elongation factor 1 gamma, conserved domain",2,"['YKL081W', 'YPL048W']",,,,,,,,,,"['Glutathione S-transferase, C-terminal domain', 'Glutathione S-transferase, N-terminal domain']"
PF00649,Copper fist DNA binding domain,3,"['YGL166W', 'YMR021C', 'YPR008W']",,,,"['RNA polymerase II core promoter proximal region sequence-specific DNA binding', 'RNA polymerase II transcription factor activity, sequence-specific DNA binding', 'copper ion binding', 'transcription factor activity, sequence-specific DNA binding']","['cellular copper ion homeostasis', 'cellular iron ion homeostasis']",,,,,
PF00650,CRAL/TRIO domain,6,"['YJL145W', 'YKL091C', 'YLR380W', 'YMR079W', 'YNL231C', 'YNL264C']",,['SEC14'],['intracellular membrane-bounded organelle'],['phosphatidylinositol transporter activity'],"['Golgi to plasma membrane protein transport', 'intermembrane lipid transfer', 'lipid transport', 'negative regulation of phosphatidylglycerol biosynthetic process', 'phosphatidylinositol metabolic process', 'phospholipid transport', 'positive regulation of phosphatidylcholine biosynthetic process']",,,,,"['CRAL/TRIO, N-terminal domain']"
PF00651,BTB/POZ domain,1,['YIL001W'],,,,,,,,,,
PF00653,Inhibitor of Apoptosis domain,1,['YJR089W'],,,,,,,,,,
PF00654,Voltage gated chloride channel,1,['YJR040W'],,,,,,,,,,
PF00656,Caspase domain,1,['YOR197W'],,,,,,,,,,
PF00658,"Poly-adenylate binding protein, unique domain",1,['YER165W'],,,,,,,,,,
PF00659,POLO box duplicated region,1,['YMR001C'],,,,,,,,,,
PF00660,Seripauperin and TIP1 family,29,"['YAL068C', 'YAR020C', 'YBL108C-A', 'YBR067C', 'YBR301W', 'YCR104W', 'YDR542W', 'YEL049W', 'YER011W', 'YFL020C', 'YGL261C', 'YGR294W', 'YHL046C', 'YIL011W', 'YIL176C', 'YIR041W', 'YJL223C', 'YJR150C', 'YJR151C', 'YKL224C', 'YLL025W', 'YLL064C', 'YLR037C', 'YLR040C', 'YLR461W', 'YMR325W', 'YNR076W', 'YOR394W', 'YPL282C']",,,"['anchored component of membrane', 'extracellular region', 'fungal-type cell wall', 'fungal-type vacuole']","['molecular_function', 'structural constituent of cell wall']","['biological_process', 'fungal-type cell wall organization']",,,['NAM7'],"['TUP1', 'SPT10', 'RAP1', 'SPN1']",
PF00664,ABC transporter transmembrane region,10,"['YDR135C', 'YGR281W', 'YHL035C', 'YKL209C', 'YKR103W', 'YLL015W', 'YLL048C', 'YLR188W', 'YMR301C', 'YPL270W']",,['YCF1'],"['fungal-type vacuole membrane', 'integral component of membrane', 'membrane', 'vacuolar membrane']","['ABC-type transporter activity', 'ATP binding', 'ATPase activity, coupled to transmembrane movement of substances', 'bilirubin transmembrane transporter activity', 'cadmium-transporting ATPase activity', 'glutathione S-conjugate-exporting ATPase activity', 'nucleotide binding', 'oligopeptide-transporting ATPase activity', 'peptide-transporting ATPase activity', 'xenobiotic-transporting ATPase activity']","['bilirubin transport', 'cadmium ion transmembrane transport', 'oligopeptide export from mitochondrion', 'peptide transport', 'response to metal ion', 'transmembrane transport']",,,"['YGL081W', 'COF1']",,['ABC transporter']
PF00667,Integrase core domain,3,"['YFR030W', 'YHR042W', 'YPR048W']",,,,"['FMN binding', 'NADP binding', 'NADPH-hemoprotein reductase activity', 'flavin adenine dinucleotide binding']",,,,,,"['Oxidoreductase NAD-binding domain', 'Flavodoxin']"
PF00670,FAD binding domain,1,['YER043C'],,,,,,,,,,
PF00673,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain",3,"['YDR237W', 'YGR085C', 'YPR102C']",,,['cytosolic large ribosomal subunit'],,,,,,,['Ribosomal protein L5']
PF00674,ribosomal L5P family C-terminus,24,"['YAR023C', 'YAR027W', 'YAR028W', 'YAR029W', 'YAR031W', 'YAR033W', 'YBR302C', 'YCR007C', 'YCR102W-A', 'YDL248W', 'YFL062W', 'YGL051W', 'YGL053W', 'YGL263W', 'YGR295C', 'YHL042W', 'YHL043W', 'YHL044W', 'YHL048W', 'YJR161C', 'YKL219W', 'YML132W', 'YNL336W', 'YNR075W']",,,"['endosome', 'fungal-type vacuole', 'integral component of membrane', 'membrane']",['molecular_function'],['protein targeting to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway'],,,"['MST28', 'SND3', 'IFA38', 'ELO2', 'FMP42', 'AQY1', 'THI7']","['ZAP1', 'SIN3']",
PF00675,DUP family,8,"['YBL045C', 'YDR430C', 'YHR024C', 'YLR163C', 'YLR389C', 'YOL098C', 'YPR122W', 'YPR191W']",,,"['mitochondrial matrix', 'mitochondrial processing peptidase complex']","['metal ion binding', 'metalloendopeptidase activity', 'metallopeptidase activity', 'peptidase activity']","['protein processing involved in protein targeting to mitochondrion', 'proteolysis']",,,,,['Peptidase M16 inactive domain']
PF00676,Insulinase (Peptidase family M16),2,"['YER178W', 'YIL125W']",,,,"['oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor']",,,,,,
PF00677,Dehydrogenase E1 component,1,['YBR256C'],,,,,,,,,,
PF00679,Lumazine binding domain,7,"['YDR385W', 'YJL102W', 'YKL173W', 'YLR069C', 'YLR289W', 'YNL163C', 'YOR133W']",,,['ribonucleoprotein complex'],"['GTP binding', 'GTPase activity', 'nucleotide binding', 'ribosome binding', 'translation elongation factor activity']","['positive regulation of translational elongation', 'translation', 'translational elongation']",,,,,"['Elongation factor Tu GTP binding domain', 'Elongation factor Tu domain 2', 'Elongation factor G, domain IV', 'Elongation Factor G, domain III']"
PF00682,Elongation factor G C-terminus,6,"['YBR218C', 'YDL131W', 'YDL182W', 'YGL062W', 'YNL104C', 'YOR108W']",,,,"['2-isopropylmalate synthase activity', 'biotin binding', 'catalytic activity', 'homocitrate synthase activity', 'pyruvate carboxylase activity', 'transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer']","['carboxylic acid metabolic process', 'cellular amino acid biosynthetic process']","['TCA cycle, aerobic respiration', 'aspartate biosynthesis', 'gluconeogenesis', 'leucine biosynthesis', 'lysine biosynthesis']",,,,"['Biotin carboxylase, N-terminal domain', 'Biotin-requiring enzyme', 'Conserved carboxylase domain', 'Biotin carboxylase C-terminal domain', 'Carbamoyl-phosphate synthase L chain, ATP binding domain', 'LeuA allosteric (dimerisation) domain']"
PF00684,HMGL-like,5,"['YFL016C', 'YLR090W', 'YMR214W', 'YNL064C', 'YNL077W']",,['YME1'],,"['ATPase activator activity', 'Hsp70 protein binding', 'heat shock protein binding', 'metal ion binding', 'unfolded protein binding']",['protein folding'],,,,,"['DnaJ domain', 'DnaJ C terminal domain']"
PF00687,DnaJ central domain,5,"['YDR116C', 'YGL135W', 'YHR052W', 'YKR060W', 'YPL220W']",,,['large ribosomal subunit'],['RNA binding'],['maturation of LSU-rRNA'],,,"['NOP15', 'NOP58']",,
PF00689,Ribosomal protein L1p/L10e family,5,"['YDR038C', 'YDR039C', 'YDR040C', 'YGL006W', 'YGL167C']",['Hailey-Hailey disease'],"['VCX1', 'YPI1', 'SNF7', 'SNF8']",,"['ATP binding', 'ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism', 'calcium-transporting ATPase activity', 'cation-transporting ATPase activity', 'nucleotide binding', 'potassium-transporting ATPase activity', 'sodium-exporting ATPase activity, phosphorylative mechanism']","['calcium ion transmembrane transport', 'calcium ion transport', 'cation transport', 'cellular calcium ion homeostasis', 'ion transmembrane transport', 'ion transport', 'potassium ion transmembrane transport', 'potassium ion transport', 'sodium ion transmembrane transport', 'sodium ion transport', 'transmembrane transport']",,,,,"['E1-E2 ATPase', 'Cation transporter/ATPase, N-terminus', 'haloacid dehalogenase-like hydrolase', 'Cation transport ATPase (P-type)']"
PF00690,"Cation transporting ATPase, C-terminus",7,"['YDR038C', 'YDR039C', 'YDR040C', 'YGL006W', 'YGL008C', 'YGL167C', 'YPL036W']",['Hailey-Hailey disease'],"['VCX1', 'YPI1']","['integral component of membrane', 'plasma membrane']","['ATP binding', 'ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism', 'calcium-transporting ATPase activity', 'cation-transporting ATPase activity', 'hydrogen-exporting ATPase activity, phosphorylative mechanism', 'nucleotide binding', 'potassium-transporting ATPase activity', 'sodium-exporting ATPase activity, phosphorylative mechanism']","['calcium ion transmembrane transport', 'cation transport', 'cellular calcium ion homeostasis', 'ion transmembrane transport', 'ion transport', 'proton export across plasma membrane', 'regulation of intracellular pH', 'sodium ion transmembrane transport', 'sodium ion transport', 'transmembrane transport']",,,"['TOR1', 'TOR2']",['SKO1'],"['E1-E2 ATPase', 'Cation transporting ATPase, C-terminus', 'haloacid dehalogenase-like hydrolase', 'Cation transport ATPase (P-type)']"
PF00692,"Cation transporter/ATPase, N-terminus",1,['YBR252W'],,,,,,,,,,
PF00694,dUTPase,4,"['YDR234W', 'YGL009C', 'YJL200C', 'YLR304C']",,,,"['4 iron, 4 sulfur cluster binding', 'aconitate hydratase activity', 'iron-sulfur cluster binding', 'lyase activity']",,"['TCA cycle, aerobic respiration', 'glyoxylate cycle']",,,['RTG3'],['Aconitase family (aconitate hydratase)']
PF00696,Aconitase C-terminal domain,4,"['YDR300C', 'YER052C', 'YER069W', 'YHR033W']",,,,"['glutamate 5-kinase activity', 'kinase activity']","['cellular amino acid biosynthetic process', 'phosphorylation', 'proline biosynthetic process']",,,,,['PUA domain']
PF00697,Amino acid kinase family,1,['YDR007W'],,,,,,,,,,
PF00698,N-(5'phosphoribosyl)anthranilate (PRA) isomerase,1,['YKL182W'],,,,,,,,,,
PF00702,Acyl transferase domain,14,"['YBR295W', 'YDR038C', 'YDR039C', 'YDR040C', 'YDR270W', 'YEL031W', 'YGL006W', 'YGL008C', 'YGL167C', 'YGR208W', 'YMR130W', 'YMR162C', 'YOR291W', 'YPL036W']",['Hailey-Hailey disease'],"['VCX1', 'YPI1', 'ECM30']","['integral component of membrane', 'membrane', 'plasma membrane']","['ATP binding', 'ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism', 'calcium-transporting ATPase activity', 'cation-transporting ATPase activity', 'copper-transporting ATPase activity', 'hydrogen-exporting ATPase activity, phosphorylative mechanism', 'metal ion binding', 'nucleotide binding', 'potassium-transporting ATPase activity', 'sodium-exporting ATPase activity, phosphorylative mechanism']","['calcium ion transmembrane transport', 'cation transmembrane transport', 'cation transport', 'cellular calcium ion homeostasis', 'ion transmembrane transport', 'ion transport', 'proton export across plasma membrane', 'sodium ion transmembrane transport', 'sodium ion transport', 'transmembrane transport']",,,,['SKO1'],"['E1-E2 ATPase', 'Cation transporting ATPase, C-terminus', 'Cation transporter/ATPase, N-terminus', 'Cation transport ATPase (P-type)']"
PF00704,haloacid dehalogenase-like hydrolase,2,"['YDR371W', 'YLR286C']",,,,"['chitin binding', 'chitinase activity', 'hydrolase activity, hydrolyzing O-glycosyl compounds']","['chitin catabolic process', 'polysaccharide catabolic process']",,,,,
PF00705,Glycosyl hydrolases family 18,1,['YBR088C'],,,,,,,,,,
PF00709,"Proliferating cell nuclear antigen, N-terminal domain",1,['YNL220W'],,,,,,,,,,
PF00710,Adenylosuccinate synthetase,5,"['YDR321W', 'YLR155C', 'YLR157C', 'YLR158C', 'YLR160C']",,,"['cell wall-bounded periplasmic space', 'extracellular region', 'periplasmic space']","['asparaginase activity', 'hydrolase activity']","['asparagine catabolic process', 'asparagine metabolic process', 'cellular amino acid metabolic process', 'cellular response to nitrogen starvation']",['asparagine degradation'],,,"['NGG1', 'GLN3', 'PGD1', 'SRB2', 'MSN2']",['Glutaminase/Asparaginase C-terminal domain']
PF00717,"Asparaginase, N-terminal",1,['YIR022W'],,,,,,,,,,
PF00719,Peptidase S24-like,2,"['YBR011C', 'YMR267W']",,,,['inorganic diphosphatase activity'],['phosphate-containing compound metabolic process'],,,,,
PF00722,Inorganic pyrophosphatase,3,"['YEL040W', 'YGR189C', 'YLR213C']",,,['fungal-type cell wall'],"['hydrolase activity, acting on glycosyl bonds', 'hydrolase activity, hydrolyzing O-glycosyl compounds', 'transferase activity, transferring glycosyl groups']","['carbohydrate metabolic process', 'cell wall chitin metabolic process', 'fungal-type cell wall organization']",,,,,
PF00723,Glycosyl hydrolases family 16,1,['YIL099W'],,,,,,,,,,
PF00724,Glycosyl hydrolases family 15,2,"['YHR179W', 'YPL171C']",,,,"['FMN binding', 'NADPH dehydrogenase activity', 'pentaerythritol trinitrate reductase activity']",,,,,,
PF00730,NADH:flavin oxidoreductase / NADH oxidase family,4,"['YAL015C', 'YER142C', 'YML060W', 'YOL043C']",,"['APN2', 'RAD18', 'RAD26', 'APN1', 'RAD52', 'RAD14', 'RAD50', 'HNT3', 'REV1', 'REV3']",,"['DNA N-glycosylase activity', 'DNA-(apurinic or apyrimidinic site) lyase activity', 'catalytic activity', 'class I DNA-(apurinic or apyrimidinic site) endonuclease activity', 'hydrolase activity, acting on glycosyl bonds', 'lyase activity', 'oxidized purine nucleobase lesion DNA N-glycosylase activity', 'oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity']","['DNA repair', 'base-excision repair', 'base-excision repair, AP site formation', 'cellular response to DNA damage stimulus', 'metabolic process', ""nucleotide-excision repair, DNA incision, 5'-to lesion""]",,['UV resistance: normal'],,,
PF00731,HhH-GPD superfamily base excision DNA repair protein,1,['YOR128C'],,,,,,,,,,
PF00733,AIR carboxylase,3,"['YGR124W', 'YML096W', 'YPR145W']",,,,['asparagine synthase (glutamine-hydrolyzing) activity'],"['L-asparagine biosynthetic process', 'asparagine biosynthetic process', 'cellular amino acid biosynthetic process', 'glutamine metabolic process']",['asparagine biosynthesis'],,,,['Glutamine amidotransferase domain']
PF00735,Asparagine synthase,7,"['YCR002C', 'YDL225W', 'YDR218C', 'YGR059W', 'YHR107C', 'YJR076C', 'YLR314C']",,"['FUS3', 'SKT5', 'CHS3', 'BEM1', 'BUD3', 'CDC10', 'CYK3', 'SHS1', 'GIN4', 'SWI4', 'CDC12', 'DMA1', 'VHS2', 'AXL2', 'CHS6', 'CDC11', 'BUD4', 'SMY1', 'NAP1', 'SPA2', 'UBI4', 'STM1', 'BUD6', 'CHS5', 'MIH1', 'ZDS1', 'TPM1', 'BNI5', 'MSN1', 'SMA1', 'BEM3', 'SSO1', 'CLN2', 'CSI2']","['ascospore wall', 'cell division site', 'cellular bud neck', 'cellular bud neck septin ring', 'mating projection base', 'meiotic spindle', 'membrane', 'microtubule cytoskeleton', 'prospore membrane', 'septin complex', 'septin filament array', 'septin ring', 'spindle microtubule']","['GTP binding', 'GTPase activity', 'binding, bridging', 'nucleotide binding', 'phosphatidylinositol-4-phosphate binding', 'phosphatidylinositol-5-phosphate binding', 'structural constituent of cytoskeleton']","['actomyosin contractile ring assembly', 'barrier septum assembly', 'cell cycle', 'cell division', 'cellular bud neck septin ring organization', 'cellular protein localization', 'cytoskeleton-dependent cytokinesis', 'exit from mitosis', 'maintenance of cell polarity', 'mitotic cytokinesis', 'positive regulation of protein kinase activity', 'protein localization to bud neck', 'septin ring assembly']",,"['axial budding pattern: decreased', 'bipolar budding pattern: increased', 'cell cycle progression: arrested', 'cellular morphology: abnormal', 'cytokinesis: absent']","['KCC4', 'CDC10', 'SYP1', 'UBC9', 'SHS1', 'CDC37', 'CCT6', 'SPR28', 'SIZ1', 'GIN4', 'CDC12', 'CCT3', 'CDC11', 'BUD4', 'CDC3', 'FMP27', 'HOF1', 'NIS1', 'BNI5', 'CLA4', 'RAD53', 'BEM4']",,
